question_id,tag_id,tag_name
0003e7bf48f24b5c985f8fce96e611f3,"[18073, 27330, 27510, 1707, 29649, 33630]","['technology', 'high-school', 'information-technology', 'internship', 'time', 'majoring']"
0006609dd4da40dcaa5a83e0499aba14,"[18360, 18370]","['psychology', 'law']"
000af224bc2f4e94a19f8b62ba279cc4,"[51, 18156]","['biology', 'marine']"
000b30fb534b41f7b716fa9ebf9c3f35,"[29, 18216, 25883, 12217]","['teaching', 'school', 'exercise', 'exercise-science']"
0018752e44b44e26bb74a0a43232b4d6,"[18032, 33245]","['math', 'puremathematics']"
0025b917219c4a24ba5fe260ca66ca98,"[27490, 27390, 18221]","['college', 'criminal-justice', 'forensic']"
00269cdc24fd4a3c93aad485688c240b,"[19352, 32896, 33626]","['gaming', 'videogames', 'videogamesmaking']"
002b07f6281a407ca49ee8b3538e5e45,[1642],['programming']
002c5689a0b642a3940f99b68f5364b6,"[21537, 1364, 18248, 25699]","['pre-med', 'clinical-psychology', 'psychiatry', 'psychiatrists']"
0031077b31454fadae1754e871e84457,"[28832, 27612]","['interior-design', 'interior-decorator']"
00361e5dda874e65abaeeceb12c8e10c,"[27292, 129, 18145, 18535, 18313]","['business', 'career', 'management', 'degree', 'entrepreneur']"
0037ccbe4467439490e660f606addf2b,"[452, 33228, 33227]","['nursing', 'freshmanfrights', 'rookienurseingstudent']"
0039bd579d1747d0a176dddf400b62fc,"[27490, 1113, 27332, 18443]","['college', 'career-counseling', 'career-choice', 'career-path']"
003c7e6c8e7045caad3449a79c65e23f,"[27490, 18211, 33304]","['college', 'money', 'unitedstates']"
003d2cf801f2498183390a24302ca82d,[18328],['career-paths']
003f3f45eb644e5595b9a37235ead724,"[54, 20227, 18027, 335]","['engineering', 'college-major', 'physics', 'electrical-engineering']"
0048de38f49b4c629c79e0c35508aa50,[162],['accounting']
004aa9dc9507422eb57f278fa4de3d35,"[89, 27495, 31288]","['medicine', 'medical-education', 'medicalfield']"
005521ddacec495c91942269df0b9957,"[18217, 89, 27311, 21632, 36375]","['doctor', 'medicine', 'internships', 'field', 'opnion']"
0055acec30e24b2f8880cf7eb1293df3,"[27490, 18124, 18126, 24058, 34291, 35873]","['college', 'dance', 'majors', 'double-major', 'college-experience', 'dailylife']"
0059c69587f94ec3be5ee889c5c00764,[17969],['graphic-design']
005b667f039b4a6c91fa07cf47f8a80f,"[27490, 129, 18714, 995, 6903]","['college', 'career', 'time-management', 'college-advice', 'zookeeper']"
005c08c032854fff89671458b13dc95c,"[146, 25422, 26849]","['nurse', 'occupational-therapy', 'pediatric']"
005f0a1ab7de46219e26ffdd43a9778e,[27426],['entrepreneurship']
0064ba8c0318478ea7f10e9ceb7c2eff,"[5648, 18327, 31447]","['professional', 'help', 'lawschool']"
0065540c11a1433aa785ce8ea438dedd,"[593, 18073, 27392, 27307, 19333, 18446, 18611, 19165, 18537, 20487, 20398]","['computer-software', 'technology', 'software', 'software-engineering', 'coding', 'web-development', 'java', 'it-management', 'javascript', 'html', 'css']"
006741be07684664bdf398568b3d8f74,[25611],['carpentry']
006757027d1f4753b007399dc93c778d,"[18056, 18040, 21902, 3062]","['arts', 'performing-arts', 'comedy', 'comedian']"
00683da3fd6245898d7346780dfa2d63,"[18216, 18523]","['school', 'strategy']"
006a68c16c7c4644bec7dd2d7d328d1f,"[21438, 33530]","['professor', 'office-hours']"
006b9cf69cd0405ea0a8821c5f6641bb,"[27490, 54, 53, 27295, 25878]","['college', 'engineering', 'science', 'computer', 'gpa']"
006e23b28b5b4ae2b6b66ce5ae28d231,"[18217, 53, 51, 20394, 20325]","['doctor', 'science', 'biology', 'medicare', 'medicaid']"
006eb8550f5049c48ee634020ca9f46a,"[18241, 17996, 27304, 27411, 3388, 15234]","['colleges', 'chef', 'culinary-arts', 'food', 'food-service', 'personal-chef']"
00709e33dc9743edb9841e7501cfe0b0,"[20227, 64, 29378]","['college-major', 'architecture', 'architecture-and-planning']"
007113a6f5e44b78bcd412d7d7772ea2,[29],['teaching']
007333b935214f399483f7b1bd07d693,[27495],['medical-education']
00738b1c3d2c4cf0a5306a527d855064,"[54, 333, 18368]","['engineering', 'mechanical-engineering', 'mechanical-engineer']"
00769048c2894930bca0daa655bf916b,[12056],['hobbies']
00780376199f43568f03b1b982929f09,"[27404, 4168, 22935, 13153, 13856, 35972]","['resume', 'careers', 'graduation', 'job-applications', 'applications', 'graduatecertificate']"
00795b55345a44e8956fe214fab8e4bc,"[27292, 32149]","['business', 'collegesuccess']"
007e32d9843d496580d8dd326d1038ab,"[19975, 18029, 18433, 13918, 11606]","['author', 'publishing', 'publications', 'publisher', 'self-publishing']"
0082a81f55d8445ea31d67b35ca5fc0c,"[18789, 18032, 18815, 27263, 27285, 26149]","['stem', 'math', 'statistics', 'forensic-science', 'csi', 'calculus']"
00886edc59f34c89b52e210bc562def3,[1552],['cosmetology']
0096a26cf88e4253a41050069d44e73d,"[37335, 37336]","['bigcollege', 'smallcollege']"
009ad5c6266b4b029047872610f6a33a,"[27490, 129, 26512]","['college', 'career', 'mentors']"
00a1ac3d65094cba96d9a719ace341d9,"[20227, 18348, 18112, 18027, 27293, 18015, 18156, 21894]","['college-major', 'biomedical', 'scholarships', 'physics', 'financial-aid', 'environment', 'marine', 'marine-mammals']"
00a6447554d6452fa74e240989fac724,"[21725, 18039, 8477, 1648]","['salary', 'non-profit', 'financial-planning', 'public-policy']"
00af17f102364c39803fd9d1c6712d30,"[461, 27295, 18073, 27510]","['computer-science', 'computer', 'technology', 'information-technology']"
00b09aaf00f341f4a9787f5625a6c028,"[27490, 20227, 18323]","['college', 'college-major', 'college-admissions']"
00b14086448d4abb9f9f26e22cf9b8dc,"[27286, 21438, 410, 3967, 2175]","['teacher', 'professor', 'university', 'student', 'students']"
00b5875f3e88453199f9a04bc64c8644,"[89, 18109, 51, 36, 18338]","['medicine', 'healthcare', 'biology', 'health', 'chemistry']"
00b6f892cf014382aba96e32e355e0c9,"[27490, 27292, 692, 18364, 27395, 995, 14354]","['college', 'business', 'higher-education', 'mba', 'masters', 'college-advice', 'masters-degree']"
00bb1d71eefa4ebfae1890bc7d707fa4,"[18370, 13606]","['law', 'pre-law']"
00bbc2e889c54feaae9f9afe1215ef6f,"[18370, 27390, 18179]","['law', 'criminal-justice', 'intellectual-property']"
00bbc674a21b43a49ee6cd870e3abfca,[17969],['graphic-design']
00bc9f18576741d8bfe371a31e57f528,"[27490, 21109, 29670, 29669, 29668]","['college', 'graduate', 'recent', 'bsuiness', 'experiecne']"
00c2b4e30dbc493db109d3e871d9ac83,"[89, 452, 18109, 29121]","['medicine', 'nursing', 'healthcare', 'hospital-and-health-care']"
00c35c40a847415ab369704238ecc233,"[452, 18109]","['nursing', 'healthcare']"
00c4193a8d2943dbb5ca9a137ba4ee02,"[18217, 18445]","['doctor', 'veterinarian']"
00c49f14f2894cba85b6d4e5138a8eaa,"[18276, 18040, 27787]","['music', 'performing-arts', 'music-production']"
00c69523c1f24d62937f6c6b36a0dc3e,"[27490, 18263, 18216, 18323, 18059, 11340]","['college', 'sports', 'school', 'college-admissions', 'extracurriculars', 'high-school-classes']"
00cac59c62344eb98bd2c2c88035a382,"[18547, 18241, 18008]","['education', 'colleges', 'principal']"
00cc196dce80474b9accc5f61f8f2ec0,"[25743, 29383]","['years', 'five']"
00cc299169534235b78474d648335b95,"[89, 318, 7478, 29509]","['medicine', 'surgery', 'surgeon', 'female']"
00cef628661145598e1f3acb0e2d6954,"[27422, 19970, 13522, 11064, 22487, 19875, 29841]","['medical', 'radiology', 'technologist', 'radiology-education', 'medical-imaging', 'x-ray', 'radiology-student']"
00d0a65b629944cca6e88f59d30abf3c,"[20227, 5334, 31892]","['college-major', 'pharmacy', 'pre-pharmacy']"
00d0da5421934c6bb205f9bf3ce1ab04,"[27490, 27601, 20312]","['college', 'major', 'college-minor']"
00d3b6376aa14dce85c66f6c4ad78880,[21811],['dental']
00d7b4b588b64ece8c8cb941bc8a0433,"[27490, 410, 18216]","['college', 'university', 'school']"
00d85bcc5a26439d9a849d99f0249457,"[27490, 197, 17844, 25263]","['college', 'communications', 'communication', 'majors-and-minors']"
00d8e0972d4c4f69833a76e21cac0dbd,[27490],['college']
00dade341ee14b8d958e60c3dedeb24f,"[461, 27295, 19625, 19435, 18531]","['computer-science', 'computer', 'game-design', 'games', 'interactive-media']"
00e2c1c6bad1413a826e95dbdd012e13,"[51, 18338, 18027]","['biology', 'chemistry', 'physics']"
00e660652f7e47c5b44c5c7fb57de3a4,"[18217, 129, 89, 20584]","['doctor', 'career', 'medicine', 'student-loans']"
00e934af910e4c92a530e169764ca3f6,"[21539, 18452, 21621]","['art', 'design', 'beginner']"
00ebb2005d854923b0c7c67bf77e29c2,"[18364, 19445, 2564]","['mba', 'scholarship', 'women']"
00ee09933a2a4790a3969e2f092805c6,"[27490, 25179]","['college', 'united']"
00eff55d1a2441b18ae656fd6cde6fa1,"[27490, 18044, 692]","['college', 'graduate-school', 'higher-education']"
00f4532b26b148c6af2e4d93e72c42a7,[18144],['sociology']
00f9376f9c864631bc970f3a49c6aa08,[197],['communications']
00f9f5edd29b4f41a391b00d59e75067,[27490],['college']
00faf7f2ead047f6ad8379a53bea12f1,[18216],['school']
01053488742e4a91bdfadd212da6c908,[2610],['pathology']
010654d937aa427e9eaf794e6503f738,[1642],['programming']
01089f2a9ab044d9a21c6c2fe763be5f,[129],['career']
010b3de7532946148289efa07bcbd52e,"[27490, 22494]","['college', 'courses']"
010f5ca446fd41d2a5a82c4b6d65462f,"[31130, 33366, 33436]","['financialaid', 'collegedebt', 'collegeisexpensive']"
011092d9921744529c62a3c4e3b06315,"[18360, 2300, 18144]","['psychology', 'english', 'sociology']"
0112173b65854f6f9183e7e3a6c74b98,"[851, 19702, 11510]","['video', 'designer', 'gamers']"
011481de990f4a8e8b72556367bc578b,"[18360, 27286]","['psychology', 'teacher']"
011495ea542b40a8944c1d91d714a646,[18114],['college-selection']
011571f7a5fc4fbab59e34531e1b5456,"[27490, 18217, 27286, 21438, 18800]","['college', 'doctor', 'teacher', 'professor', 'counselling']"
011b0f32ee064c78bf89495d964289ff,[18257],['fashion']
011df74286c74db7b550b3b149f79d10,"[29, 27286, 18276, 22773, 34662, 23255, 31374]","['teaching', 'teacher', 'music', 'music-education', 'questions', 'choral-music', 'musiceducation']"
0122d9d3f7d4419a9131bebba94a8072,"[27306, 18153]","['work', 'social']"
012bd7e1074b4d10ab880417dea6758d,[27323],['real-estate']
012cb9f1ac674d918990b8cbf3f25177,"[129, 53, 1113, 18112, 19445, 11050, 27126]","['career', 'science', 'career-counseling', 'scholarships', 'scholarship', 'helping-people', 'mortician']"
012d052729fb4ae7ac80176541642a0c,"[27490, 18112, 18322, 17800]","['college', 'scholarships', 'college-applications', 'university-applications']"
012fe68d05d24405b749274cd24e35f5,"[593, 18073, 27311]","['computer-software', 'technology', 'internships']"
0132a1a675394b69b3dc53f10082a714,[18112],['scholarships']
0132e8aff6b94275b86f20109a6850a2,[18311],['books']
0134a0a00ad64bf89cb16068415d39a5,"[1037, 29601, 29895]","['volunteering', 'abroad', 'volunteer-abroad']"
0137a3a452a34243aa74c4db2c9542a9,"[27292, 18324, 21603]","['business', 'financial-services', 'money-management']"
013a288a42e54f70b593cdcb5d545501,"[21438, 27295, 19533, 11322]","['professor', 'computer', 'computer-engineering', 'compute']"
013d0aca75b548348fc10b918d39a831,"[13909, 5648]","['any', 'professional']"
013f0ece517b4f428f80e768085a0cde,"[18241, 2175]","['colleges', 'students']"
014400550077430897b8c83c9e4a7e31,"[27490, 17972, 18257, 33699, 34568]","['college', 'marketing', 'fashion', 'creativedirector', 'managment']"
0145b78807054747b374185fc5eac383,"[18217, 7478, 25695, 26849]","['doctor', 'surgeon', 'orthopedics', 'pediatric']"
0148cdb3c71243449e1579bf71789557,"[22571, 1835, 11165, 29013]","['computer-networking', 'computer-security', 'cybersecurity', 'computer-and-network-security']"
01494fcc92b14c688aa2e0f036798e2e,"[27490, 18211, 2763, 18324, 23299, 8477]","['college', 'money', 'job-search', 'financial-services', 'work-life-balance', 'financial-planning']"
0149c6d63e214040b44d4a3789bb00ba,"[54, 27302, 31261]","['engineering', 'neuroscience', 'gradschool']"
014ef2153be848bea13b671802935cc7,"[27292, 18364]","['business', 'mba']"
